,title,link,create_time
49,SIM成长营 | 科创经验分享会：智慧碰撞，经验传递,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=4&sn=cb7d9574ca4441da7a30ece391e0484f&chksm=bd1caf1f8a6b26091d0f6ef6643d3a303ee0cd3d4189859d18856cedce9f8c61bd64386a03e1#rd,2024/11/23 22:29
50,主题团日 | 2024级本科生团支部：科技创新素养，青春筑梦行,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=5&sn=bfff85600daf9cd23edec8a52b360233&chksm=bd1caf1f8a6b26092b17fcf7a501882c3d17772f5f6c61b29f432f70afa86ebae5bea8d42e55#rd,2024/11/23 22:29
51,主题班会 | 2306班：建设良好学风，共创优秀班级,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=6&sn=f3ae3648887af6fc1a448ca40327d856&chksm=bd1caf1f8a6b2609b1a137676b57290d3c11a8072ea5ade683ad880646a553065d13766d9c3e#rd,2024/11/23 22:29
52,主题团日 | 2306团支部：科技创新素养，青春筑梦时代,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=7&sn=8e94856eb8e7421da8e72b0c85d54607&chksm=bd1caf1f8a6b26092204ee4a8bfcbc978fb518d9b9d70cda4f064d52a8058eefca91b2b0425e#rd,2024/11/23 22:29
53,【原创】小雪时节，启诗意冬章,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390148&idx=1&sn=846a53106627ade6aa14261593689d66&chksm=bd1cad718a6b24672658fec8423bf97ab13190660e769c0cefe4a254f8c86411527af08af813#rd,2024/11/21 20:03
54,化弘信“小红花”杯乒乓球赛来啦！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390148&idx=2&sn=1d2218caeceb88a8e313579aba54b3b0&chksm=bd1cad718a6b24676355d34c3e26e33a232e3294f1f2544a62ad0bdc4ae017eb22c8b4700d13#rd,2024/11/21 20:03
55,校运会回顾 | 以毅力为剑，用激情作歌,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390108&idx=1&sn=887b859892cca82c517ff44be446ea9c&chksm=bd1cad298a6b243f0018afe9d7002adbb184b0cb0b86f6bde1636c6d12f1d855d65c39a9f200#rd,2024/11/21 19:12
56,“珞珈之春”科技文化节 | 武汉大学本科生拔尖创新能力提升计划之首届创新训练营第二期培训圆满结束,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390108&idx=2&sn=85c2974a3bb050078beab75384d98ee5&chksm=bd1cad298a6b243f1731a097e87c32b3ba90e073e56cf231214a44e64fbb910394b0b70c1965#rd,2024/11/21 19:12
57,SIM成长营 | 将青春书写在基层的大地上——选调生经验分享会,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390108&idx=3&sn=f9400897b784956d60541765ca3831b0&chksm=bd1cad298a6b243ff0efad9753f00f81ac07ce711c465509e6d7049d0ecb9161a8779da045a2#rd,2024/11/21 19:12
58,温心秋阳 | 撕掉标签，做不被定义的自己——“滚蛋吧，偏见君”活动圆满结束,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390108&idx=5&sn=9461c2434af46d035c7ad5235397c123&chksm=bd1cad298a6b243f91fae0cf1f526cd1c279ba05ba1227488704f63e7be40a15a1fa9e46b95e#rd,2024/11/21 19:12
59,金秋情景剧专访 | 情系归乡处，匠心筑梦途,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389942&idx=1&sn=56daae666f08a5c0ea1a49c3d44aafd0&chksm=bd1d52438a6adb55929d4d4362890ac70d16e161bcf8a999d149a4cfb13ebb972d641662b8d1#rd,2024/11/20 19:23
60,SIM成长营之“行走的课堂” |  2022级数字文化本硕博班：参观湖北省博物馆，探索传统文化传承与活化,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389942&idx=2&sn=1635a6fc9dd72ad92a7d8e0ed4596522&chksm=bd1d52438a6adb55bcccf103e52f8ddf3e7fa8f5116001fc770acb5854d2c62cf684751d5d7b#rd,2024/11/20 19:23
61,“珞珈之春”科技文化节 | 武汉大学本科生拔尖创新能力提升计划之首届创新训练营第一期培训顺利开展,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389942&idx=3&sn=489dbb759fca68de1683ead9e1d662dc&chksm=bd1d52438a6adb556c130d91215b0c06243a122912d12a96abe90991d53f8502bcbc0d923ed6#rd,2024/11/20 19:23
62,SIM成长营 | 活动经验分享会：活动学习两不误,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389942&idx=4&sn=439a75d6d57020bd1451af099345222f&chksm=bd1d52438a6adb55ee329561ae8dff2d18129cd3b266d59924c1f79f0dc62f0c3cf18e1dc39a#rd,2024/11/20 19:23
63,【帮推】珞青启航，职引未来 | 首届校园大使联盟招募ing 开启你的影响力之旅！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389942&idx=5&sn=bb47b55558c7c58ae868f31ab66d9175&chksm=bd1d52438a6adb55b5147b061e19be791807c3059aee4d2ff82df3bd66f4078780ace5e507dd#rd,2024/11/20 19:23
64,挑战杯专访 | “数字人”引领跨境直播新风潮,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389651&idx=1&sn=0629d40c656c683dfbcac0aaa460e801&chksm=bd1d53668a6ada708b0df55c27748ece5d17e9014bd5a526a9bdd1810510fdbe6de6318cc87a#rd,2024/11/19 21:22
65,2023级年级大会 | 选我所爱，奔赴山海,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389651&idx=2&sn=884e9a5475d012a99e29d41faa30147e&chksm=bd1d53668a6ada700e11b2d87b5899c7321bdcb99a10028f96bcdb5e9df625a9c032171bc840#rd,2024/11/19 21:22
66,SIM成长营 | 学习经验分享会：大学学习从这里启航,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389651&idx=3&sn=d04963399b426be60090fff147f506b8&chksm=bd1d53668a6ada7041dde741f9c6a13c54ed86e2a725115071f683ce8234c927f2bf823767dd#rd,2024/11/19 21:22
67,【原创】面对谣言？——那咋了！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389585&idx=1&sn=597967dd7ff93d1a9ea8a6a97dd93a64&chksm=bd1d53248a6ada32ee61b123d85395736e0dac6341bdd31ad2408a4a0b5c5bf6f5a09236f3ae#rd,2024/11/18 18:42
68,SIM成长营之“行走的课堂” | 22编辑出版：海豚传媒企业开放日,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389585&idx=2&sn=674c493b4a7e72e19f580d6431a65efb&chksm=bd1d53248a6ada3277caa29a3f2dcf0c2817112f185f911c771e68c89df05d04e730ff6696db#rd,2024/11/18 18:42
69,未来学院回顾 | 一键启智，瞬息探知,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389585&idx=3&sn=c73ef58f0d76cbb8ee76fc2f2bb80d48&chksm=bd1d53248a6ada32d21588cf0e3e4160909d0740e367e05cbc6967c733b2cd1f73a000582603#rd,2024/11/18 18:42
70,金秋服饰 | 破信息茧房，乘数字启航,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389523&idx=1&sn=0292680c353768592a7c8912f9623e0a&chksm=bd1d53e68a6adaf08b5983722a8cc5b78bd4f193aba0c18af1c2c9ce97e68d3aaf332e78d03e#rd,2024/11/17 23:44
71,主题班会 | 2306班：科学规划职业生涯，生动谱写人生乐章,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389523&idx=2&sn=f2d31c2e9129bd79c4d695762d1a070f&chksm=bd1d53e68a6adaf050d8f83f5d24c9559e832fea75dd8c806b2ac8485f4e67bfbd399df1d351#rd,2024/11/17 23:44
72,【帮推】活动预告｜“秋风有幸，纸短情长”活动,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389523&idx=3&sn=a2c86d141f4116d95c2c99435224af01&chksm=bd1d53e68a6adaf050b4b82730dbd00e8ebd5464cb516c75329268391ab69f34cf00832c438c#rd,2024/11/17 23:44
73,金秋服饰预热 | 一起去看，信息茧房外的江河山川,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389469&idx=1&sn=da67fe41284236b0c1bfa9dbdc57f4ca&chksm=bd1d53a88a6adabea4e148059d3be88e77dc919ba23cd3d512568c3691fdc6dbabf58f3e5ecc#rd,2024/11/16 21:02
74,武汉大学第九届“学宪法·讲宪法”演讲比赛,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389469&idx=2&sn=c9a1fa2186fb19a90c17a4f8462de209&chksm=bd1d53a88a6adabedde8bf938b0938430b2968ad44f320249edd4c39328f7b5e2f8d1d4ab9b5#rd,2024/11/16 21:02
75,四六级模拟考试来啦！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389469&idx=3&sn=9a90c09a7668004683f1ca241c7a4b86&chksm=bd1d53a88a6adabe31d1fa4c34a7275c4d2c70cbfc7c30b5dae53eeaa50380e7df4d1021f60c#rd,2024/11/16 21:02
76,主题团日 | 2302&2303团支部：就业领航 筑梦有章,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651389469&idx=4&sn=64e1a61cfe2979b197d5ce97388cf7c8&chksm=bd1d53a88a6adabef2eda435cea6ed4c4c76c16edeb59b06d8b31823a37c73ab322e4e90d2e6#rd,2024/11/16 21:02
